Seed,Algorithm,Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,Flips,FLOPS
2,AGEMOEA,2,1002,1,44,3,0.4,45,1,0.4,311,1,2,1,0.35105188736395687,0.9405684023912985,81.0,0.17947653514727274
2,AGEMOEA,3,5460,1,16,3,0.4,45,1,0.4,312,1,3,1,0.4026060972698346,0.9233234245721926,0.0,0.15460738203786425
2,AGEMOEA,2,1001,1,11,2,0.4,42,11,0.4,299,1,3,1,0.07787981170812106,0.9169760193660322,307.0,0.07862742690899158
2,AGEMOEA,2,1002,1,82,3,0.4,45,1,0.4,308,1,2,1,0.7269000891521928,0.9579401104535111,83.0,0.3446844441764387
2,AGEMOEA,4,1707,1,48,3,0.4,59,1,0.4,310,1,3,1,0.5287179619667607,0.9515436225335304,75.0,0.2397771228006406
2,AGEMOEA,2,1001,1,16,4,0.4,41,1,0.4,256,1,2,1,0.10944300552508615,0.9188026423352085,865.0,0.04755948515753925
2,AGEMOEA,2,1002,1,50,4,0.4,267,10,0.4,473,2,3,1,0.5605568267512182,0.9465920428834519,29.0,0.5307254171317212
2,AGEMOEA,4,1077,1,200,4,0.4,879,2,0.4,490,2,2,1,4.314369143453225,0.9562433106890585,0.0,2.940294613179432
2,AGEMOEA,2,1002,1,48,4,0.4,51,1,0.4,475,1,3,1,0.4527353203712945,0.9553499371614693,482.0,0.39416699786158843
2,AGEMOEA,2,1001,1,11,4,0.4,263,11,0.4,492,1,3,1,0.1152138432006101,0.9114463860180978,0.0,0.20817822836894498
2,AGEMOEA,2,1001,1,16,4,0.4,263,1,0.4,256,1,2,1,0.13878168148236508,0.8957510827244863,0.0,0.05577751061283938
2,AGEMOEA,2,1000,1,16,3,0.4,42,1,0.4,258,1,3,1,0.10985384200959492,0.9263871169707488,159.0,0.04819722706026612
2,AGEMOEA,4,1002,1,16,2,0.4,37,1,0.4,256,1,2,1,0.1089422042373885,0.9187046209472882,3416.0,0.04733034995870415
2,AGEMOEA,4,6308,1,48,4,0.4,54,2,0.4,309,2,3,1,1.4093191500632998,0.9520633641527905,49.0,0.5139610644694184
2,AGEMOEA,2,1016,1,48,4,0.4,45,1,0.4,329,2,2,1,0.3979305724079985,0.9545614849293574,115.0,0.216897360056837
2,AGEMOEA,3,5644,1,11,2,0.4,42,11,0.4,299,1,3,1,0.28218867331773656,0.9165755693767278,11.0,0.1397503969101993
2,AGEMOEA,4,7834,1,186,3,0.4,46,1,0.4,303,1,2,1,7.193572655617172,0.9617649425674815,48.0,2.4188129287782036
2,AGEMOEA,4,7834,1,50,4,0.4,57,10,0.4,299,1,2,1,1.7727887312630417,0.9475103199196766,18.0,0.6356802913814872
2,AGEMOEA,4,1041,1,186,3,0.4,46,2,0.4,324,2,2,1,2.1697739457317953,0.9659061388648741,122.0,0.9828833778132672
2,AGEMOEA,2,1011,1,167,4,0.4,859,1,0.4,490,2,2,1,3.326211397032256,0.9552012267731861,16.0,2.3006972359231375
2,AGEMOEA,2,1003,1,48,4,0.4,45,2,0.4,492,1,2,1,0.4578861295690688,0.955989836609368,404.0,0.4286992277491415
2,AGEMOEA,2,1000,1,11,2,0.4,44,11,0.4,258,2,3,1,0.07445223660746815,0.9282988019051709,1231.0,0.06058488698282515
