Seed,Algorithm,Tokenizer,Vocab Size,Num Hidden Layers,Hidden Size,Hidden Act,Hidden Dropout Prob,Intermediate Size,Num Attention Heads,Attention Probs Dropout Prob,Max Sequence Length,Position Embedding Type,Learning Rate,Batch Size,Size,Accuracy,FLOPS,Flips
2,AGEMOEA,2,2244,11,16,1,0.5,513,1,0.5,500,2,2,2,0.9847899937346203,0.7130865957908189,1.3214838633505925,888.0
2,AGEMOEA,4,2974,10,16,2,0.5,275,1,0.5,271,2,2,2,0.6431832779769392,0.7185739293219532,0.406534275589596,0.0
2,AGEMOEA,4,1020,1,16,2,0.5,43,1,0.5,256,3,3,2,0.11110482963782263,0.8968090886839772,0.04831907475974701,863.0
2,AGEMOEA,4,3112,9,14,2,0.5,274,7,0.5,282,2,2,2,0.5210988863624891,0.7218948436243635,0.5097492550860299,0.0
2,AGEMOEA,2,1017,11,14,1,0.5,37,7,0.5,501,2,3,2,0.19984259457078865,0.7181800546440207,1.456071894812095,3526.0
2,AGEMOEA,4,1004,2,16,2,0.5,87,1,0.5,271,3,3,2,0.1265678831098366,0.7609389542168095,0.0686287100474082,896.0
2,AGEMOEA,2,31889,10,36,1,0.5,579,1,0.5,272,2,2,2,6.625516080130428,0.7014941751352202,2.288977880306693,110.0
2,AGEMOEA,3,1002,1,14,2,0.3,91,7,0.3,268,3,3,2,0.10326904057944927,0.7796861614997149,0.06653536783595028,351.0
2,AGEMOEA,4,1002,1,14,2,0.5,126,7,0.5,268,2,3,2,0.10642265054534282,0.789574479986892,0.06525860124846969,38.0
2,AGEMOEA,2,1017,11,16,1,0.5,269,1,0.5,501,2,3,2,0.5616336080812672,0.7009384133534545,1.0964023156394471,891.0
2,AGEMOEA,4,1009,1,16,2,0.5,91,1,0.5,274,3,3,2,0.1199906015156292,0.7763248729813907,0.05685317003826744,599.0
2,AGEMOEA,4,1017,1,14,2,0.3,41,7,0.3,271,2,3,2,0.0978005194105129,0.8363649908194384,0.06423745714746094,372.0
2,AGEMOEA,2,31889,10,36,1,0.5,579,1,0.5,272,2,2,2,6.625516080130428,0.7014941751352202,2.288977880306693,110.0
2,AGEMOEA,3,1002,1,14,2,0.3,280,7,0.3,272,3,3,2,0.12480772584744924,0.7581917209785068,0.07225906355744631,323.0
2,AGEMOEA,4,1002,1,16,2,0.3,84,1,0.3,268,3,2,2,0.11673158144044407,0.7853360027206409,0.052837131896500536,319.0
2,AGEMOEA,3,1004,1,14,2,0.3,139,7,0.3,272,3,3,2,0.10836853476739103,0.7814692756602609,0.06705579870508846,206.0
2,AGEMOEA,3,1004,1,14,1,0.3,40,7,0.3,268,3,3,2,0.0971135876260126,0.8279847274310248,0.06490662722168838,645.0
2,AGEMOEA,4,1004,2,14,2,0.5,228,7,0.5,291,3,3,2,0.13853085502080242,0.7669326981211141,0.10947042860543679,20.0
2,AGEMOEA,4,1017,1,16,2,0.3,156,1,0.3,256,3,3,2,0.12658269079870968,0.8798854434710489,0.052987071954836436,270.0
2,AGEMOEA,2,1002,1,14,2,0.5,126,7,0.5,259,2,3,2,0.10540157762381139,0.8923211934004918,0.06158551751024169,49.0
2,AGEMOEA,4,1020,8,16,2,0.5,277,1,0.5,272,3,3,2,0.4336195364729262,0.7275712954521604,0.3021460357491211,0.0
2,AGEMOEA,4,1019,1,14,2,0.3,42,7,0.3,263,2,3,2,0.09713080957695536,0.915174736719294,0.06106015887755257,349.0
2,AGEMOEA,2,15809,11,14,1,0.5,516,7,0.5,499,2,2,2,1.6113905152742272,0.7000825023413517,2.165583224941352,882.0
2,AGEMOEA,2,1002,1,16,2,0.5,126,1,0.5,259,3,2,2,0.12117506388707691,0.8912356007506811,0.05162184313278469,18.0
2,AGEMOEA,4,1015,2,14,2,0.5,92,7,0.5,274,3,3,2,0.11201419345229802,0.7724852874825804,0.09094115347004406,629.0
2,AGEMOEA,2,1000,11,16,1,0.5,33,1,0.5,499,2,2,2,0.2252117151444715,0.7209371060360693,0.8946844389124126,3512.0
2,AGEMOEA,3,1004,1,16,2,0.3,49,1,0.3,268,3,3,2,0.11225938693114236,0.829927051881422,0.05163849220698243,615.0
2,AGEMOEA,3,1017,1,14,2,0.5,32,7,0.5,257,3,3,2,0.09507326035665095,0.8972540830206401,0.05787717680914397,3517.0
2,AGEMOEA,3,1020,1,14,2,0.3,280,7,0.3,272,3,3,2,0.12642625465528984,0.7615980419435759,0.07338111606072831,155.0
2,AGEMOEA,4,1018,1,16,2,0.5,127,1,0.5,268,3,3,2,0.12354962373556455,0.7827453146713127,0.05491859816119981,7.0
2,AGEMOEA,4,1004,2,14,2,0.5,274,7,0.5,270,3,3,2,0.14232245339991137,0.747730035073214,0.09587857510136859,0.0
2,AGEMOEA,2,1002,1,14,2,0.5,42,7,0.5,264,2,2,2,0.09610015592946669,0.9025385106285176,0.06047121096330984,905.0
2,AGEMOEA,4,2923,2,16,2,0.5,274,1,0.5,270,2,3,2,0.2860123338275354,0.7388071815025562,0.11147459777838771,0.0
2,AGEMOEA,2,1015,11,14,2,0.5,274,7,0.5,501,2,2,2,0.4916716631093551,0.7004782209534297,1.6124426911806424,899.0
2,AGEMOEA,3,1017,1,14,2,0.5,266,7,0.5,257,3,3,2,0.1224531526168626,0.8866394127278847,0.06574278948802925,0.0
2,AGEMOEA,4,1007,2,16,2,0.5,274,1,0.5,272,3,3,2,0.1640819489497627,0.7398224119577866,0.07950152169916394,0.0
2,AGEMOEA,4,1018,1,16,2,0.3,48,1,0.3,256,2,3,2,0.11144032056479065,0.9168333839716627,0.04801182304383912,317.0
2,AGEMOEA,2,1002,1,14,2,0.5,42,7,0.5,291,2,2,2,0.09918614069767089,0.8145388271686788,0.07173392636314006,924.0
2,AGEMOEA,2,32230,9,16,2,0.3,449,1,0.3,268,3,3,2,2.6613021059697597,0.7155485490145426,0.9157058673193444,111.0
2,AGEMOEA,4,1015,1,16,2,0.5,275,1,0.5,268,3,3,2,0.14277392389920518,0.7629549163906661,0.060473141593709034,0.0
2,AGEMOEA,3,1004,1,16,2,0.3,127,1,0.3,268,3,3,2,0.12253307004747578,0.7793961308651695,0.05456451475226027,152.0
2,AGEMOEA,4,1014,1,16,2,0.3,288,1,0.3,272,3,3,2,0.14636570223499154,0.7561086897628773,0.06344202413422746,297.0
2,AGEMOEA,2,1002,11,18,1,0.5,576,6,0.5,498,2,2,2,1.1176164405180784,0.7126742646268573,1.995907575815078,885.0
2,AGEMOEA,2,32230,8,16,2,0.3,625,1,0.3,268,3,3,2,2.7884229615305802,0.7146086495825539,0.9346036402116986,111.0
2,AGEMOEA,4,2923,2,16,2,0.5,274,1,0.5,276,3,3,2,0.28675978419687814,0.7337416289352313,0.11481122574447897,0.0
2,AGEMOEA,4,1017,2,14,2,0.5,38,7,0.5,272,3,3,2,0.10175130327842852,0.8053254391320287,0.08497014378621111,3252.0
2,AGEMOEA,4,1017,1,14,2,0.5,266,7,0.5,270,3,3,2,0.12397717899989454,0.7883444021510362,0.07152988340956927,0.0
2,AGEMOEA,4,1015,2,14,2,0.5,89,7,0.5,276,3,3,2,0.11177483050871144,0.7669326981211141,0.09173219377762921,924.0
2,AGEMOEA,4,29979,1,14,2,0.3,277,7,0.3,268,2,3,2,1.7466955374920123,0.7173548697349645,0.5053152844188924,342.0
2,AGEMOEA,4,1020,1,16,2,0.5,279,1,0.5,256,3,3,2,0.14224410244959476,0.8707700572130094,0.05684996215997061,0.0
